,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1145608,85.0
1,Memento,2000,8.5,80,983696,85.0
2,Snatch,2000,8.3,55,688578,83.0
3,Requiem for a Dream,2000,8.3,68,668082,83.0
4,X-Men,2000,7.4,64,513454,74.0
5,Cast Away,2000,7.8,73,451347,78.0
6,American Psycho,2000,7.6,64,410295,76.0
7,Unbreakable,2000,7.3,62,300454,73.0
8,Meet the Parents,2000,7.0,73,284761,70.0
9,Mission: Impossible II,2000,6.1,59,275232,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69,251955,78.0
11,Gone in Sixty Seconds,2000,6.5,35,238387,65.0
12,Wo hu cang long,2000,7.9,93,233982,79.0
13,The Patriot,2000,7.2,63,229513,72.0
14,Almost Famous,2000,7.9,90,227830,79.0
15,Pitch Black,2000,7.1,49,209124,71.0
16,Scary Movie,2000,6.2,48,207262,62.0
17,"Me, Myself & Irene",2000,6.6,49,203253,66.0
18,Final Destination,2000,6.7,36,202476,67.0
19,The Beach,2000,6.6,43,200129,66.0
20,Amores perros,2000,8.1,83,199749,81.0
21,Traffic,2000,7.6,86,181925,76.0
22,Remember the Titans,2000,7.8,48,178231,78.0
23,What Women Want,2000,6.4,47,174701,64.0
24,How the Grinch Stole Christmas,2000,6.1,46,167073,61.0
25,Chocolat,2000,7.3,64,163620,73.0
26,Miss Congeniality,2000,6.2,43,159438,62.0
27,Charlie's Angels,2000,5.5,52,158143,55.0
28,Chicken Run,2000,7.0,88,157226,70.0
29,High Fidelity,2000,7.5,79,154610,75.0
30,Batoru rowaiaru,2000,7.7,81,154064,77.0
31,Erin Brockovich,2000,7.3,73,151800,73.0
32,The Emperor's New Groove,2000,7.3,70,150662,73.0
33,Road Trip,2000,6.5,55,144549,65.0
34,The Perfect Storm,2000,6.4,59,143081,64.0
35,"Dude, Where's My Car?",2000,5.5,30,125602,55.0
36,Hollow Man,2000,5.7,24,111359,57.0
37,Scream 3,2000,5.5,56,109636,55.0
38,Billy Elliot,2000,7.7,74,109277,77.0
39,The 6th Day,2000,5.9,49,107587,59.0
40,Shanghai Noon,2000,6.6,77,107542,66.0
41,What Lies Beneath,2000,6.6,51,106903,66.0
42,Pay It Forward,2000,7.2,40,104462,72.0
43,The Whole Nine Yards,2000,6.7,47,99259,67.0
44,Faa yeung nin wa,2000,8.1,85,98204,81.0
45,Coyote Ugly,2000,5.6,27,98195,56.0
46,Men of Honor,2000,7.2,56,97892,72.0
47,The Family Man,2000,6.7,42,93995,67.0
48,Frequency,2000,7.4,67,91249,74.0
49,Dancer in the Dark,2000,8.0,61,89420,80.0
50,Bedazzled,2000,6.0,49,88680,60.0
51,Little Nicky,2000,5.3,38,88405,53.0
52,The Cell,2000,6.3,40,86852,63.0
53,Bring It On,2000,6.0,52,77979,60.0
54,Finding Forrester,2000,7.3,62,77409,73.0
55,Malèna,2000,7.5,54,75713,75.0
56,Big Momma's House,2000,5.1,33,73628,51.0
57,Battlefield Earth,2000,2.4,9,70730,24.0
58,The Road to El Dorado,2000,6.9,51,70686,69.0
59,U-571,2000,6.6,62,70565,66.0
60,Space Cowboys,2000,6.4,73,66185,64.0
61,Mission to Mars,2000,5.6,34,65438,56.0
62,Shaft,2000,5.9,50,63363,59.0
63,Romeo Must Die,2000,6.1,52,61584,61.0
64,Wonder Boys,2000,7.4,73,57642,74.0
65,The Gift,2000,6.7,62,56874,67.0
66,Titan A.E.,2000,6.6,48,55256,66.0
67,Vertical Limit,2000,5.9,48,53747,59.0
68,Les rivières pourpres,2000,6.9,49,52863,69.0
69,The Replacements,2000,6.5,30,52746,65.0
70,Proof of Life,2000,6.2,45,51945,62.0
71,Red Planet,2000,5.7,34,51269,57.0
72,Best in Show,2000,7.5,78,49954,75.0
73,The Legend of Bagger Vance,2000,6.7,47,49421,67.0
74,Thirteen Days,2000,7.3,67,49229,73.0
75,Sexy Beast,2000,7.3,79,48293,73.0
76,Quills,2000,7.3,70,47978,73.0
77,Keeping the Faith,2000,6.4,60,47115,64.0
78,Boiler Room,2000,7.0,63,45202,70.0
79,Dinosaur,2000,6.5,56,44898,65.0
80,Nueve reinas,2000,7.9,80,44060,79.0
81,Nutty Professor II: The Klumps,2000,4.4,38,43944,44.0
82,Rules of Engagement,2000,6.4,45,40574,64.0
83,28 Days,2000,6.0,46,38743,60.0
84,The Kid,2000,6.1,45,37062,61.0
85,Shadow of the Vampire,2000,6.9,71,36752,69.0
86,Ginger Snaps,2000,6.8,70,36656,68.0
87,Tigerland,2000,7.0,55,35563,70.0
88,Reindeer Games,2000,5.7,37,34176,57.0
89,Small Time Crooks,2000,6.7,69,33826,67.0
90,Chopper,2000,7.2,65,33774,72.0
91,Book of Shadows: Blair Witch 2,2000,4.0,15,32590,40.0
92,Next Friday,2000,6.1,41,32118,61.0
93,Nurse Betty,2000,6.2,69,31392,62.0
94,102 Dalmatians,2000,4.9,35,30135,49.0
95,Get Carter,2000,5.1,24,29817,51.0
96,Dracula 2000,2000,4.9,26,29511,49.0
97,The Way of the Gun,2000,6.7,49,29396,67.0
98,Dungeons & Dragons,2000,3.7,14,29396,37.0
99,Where the Heart Is,2000,6.8,30,29359,68.0
100,The Skulls,2000,5.6,24,28922,56.0
101,The Art of War,2000,5.7,30,26870,57.0
102,Vampire Hunter D: Bloodlust,2000,7.7,62,25697,77.0
103,You Can Count on Me,2000,7.6,85,25299,76.0
104,Pollock,2000,7.0,77,24985,70.0
105,Loser,2000,5.3,35,24574,53.0
106,The Watcher,2000,5.3,22,23761,53.0
107,Autumn in New York,2000,5.6,24,22460,56.0
108,Gongdong gyeongbi guyeok JSA,2000,7.9,58,22304,79.0
109,Before Night Falls,2000,7.3,85,22269,73.0
110,The Contender,2000,7.0,59,21592,70.0
111,Brother,2000,7.2,47,20111,72.0
112,Under Suspicion,2000,6.5,43,19988,65.0
113,The Million Dollar Hotel,2000,5.9,25,19536,59.0
114,State and Main,2000,6.8,75,19216,68.0
115,Tillsammans,2000,7.5,84,18913,75.0
116,Bounce,2000,5.7,52,18767,57.0
117,Im Juli,2000,7.8,71,18734,78.0
118,The Flintstones in Viva Rock Vegas,2000,3.6,27,17948,36.0
119,My Dog Skip,2000,7.0,61,17911,70.0
120,The Adventures of Rocky & Bullwinkle,2000,4.2,36,17910,42.0
121,Return to Me,2000,6.9,54,17825,69.0
122,Highlander: Endgame,2000,4.6,21,17818,46.0
123,The Yards,2000,6.4,58,17747,64.0
124,Center Stage,2000,6.7,52,17083,67.0
125,Blinkende lygter,2000,7.7,47,16863,77.0
126,Dr. T & the Women,2000,4.6,64,16526,46.0
127,Saving Grace,2000,6.9,62,16435,69.0
128,Love & Basketball,2000,7.2,70,16079,72.0
129,Supernova,2000,4.8,19,15867,48.0
130,Yi yi,2000,8.1,93,15853,81.0
131,Baise-moi,2000,4.5,35,15615,45.0
132,Sånger från andra våningen,2000,7.7,76,14938,77.0
133,The Tigger Movie,2000,6.3,53,14918,63.0
134,Boys and Girls,2000,5.4,29,14781,54.0
135,Urban Legends: Final Cut,2000,4.2,16,14319,42.0
136,The Dish,2000,7.2,74,13855,72.0
137,Der Krieger und die Kaiserin,2000,7.5,64,13556,75.0
138,Gossip,2000,5.9,31,13372,59.0
139,The Man Who Cried,2000,6.2,40,13326,62.0
140,Down to You,2000,4.9,13,13217,49.0
141,Bless the Child,2000,5.1,17,12987,51.0
142,Ready to Rumble,2000,5.3,23,12630,53.0
143,Drowning Mona,2000,5.6,25,12416,56.0
144,Cecil B. DeMented,2000,6.2,57,12253,62.0
145,All the Pretty Horses,2000,5.8,55,12166,58.0
146,Italiensk for begyndere,2000,7.1,77,12031,71.0
147,Gangster No. 1,2000,6.8,60,11946,68.0
148,Animal Factory,2000,6.6,65,11587,66.0
149,The Ladies Man,2000,5.1,22,11501,51.0
150,Seom,2000,7.0,61,11246,70.0
151,Blood: The Last Vampire,2000,6.7,44,11024,67.0
152,Hanging Up,2000,4.8,33,10980,48.0
153,Anatomie,2000,6.1,33,10798,61.0
154,Werckmeister harmóniák,2000,8.2,92,10527,82.0
155,Snow Day,2000,5.0,34,10316,50.0
156,Code inconnu: Récit incomplet de divers voyages,2000,7.2,74,10013,72.0
157,The Next Best Thing,2000,4.7,25,10004,47.0
158,Lost Souls,2000,4.8,16,9898,48.0
159,Bait,2000,5.8,39,9793,58.0
160,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1429148,88.0
161,A Beautiful Mind,2001,8.2,72,729551,82.0
162,"Monsters, Inc.",2001,8.1,78,697958,81.0
163,Donnie Darko,2001,8.1,88,670563,81.0
164,Amélie,2001,8.3,69,622507,83.0
165,Harry Potter and the Sorcerer's Stone,2001,7.6,64,531704,76.0
166,Shrek,2001,7.9,84,531369,79.0
167,Sen to Chihiro no kamikakushi,2001,8.6,96,518699,86.0
168,Ocean's Eleven,2001,7.8,74,455560,78.0
169,Training Day,2001,7.7,69,342168,77.0
170,Black Hawk Down,2001,7.7,74,326529,77.0
171,The Fast and the Furious,2001,6.7,58,307906,67.0
172,The Others,2001,7.6,74,302289,76.0
173,Pearl Harbor,2001,6.1,44,283408,61.0
174,Mulholland Dr.,2001,8.0,83,277365,80.0
175,The Mummy Returns,2001,6.3,48,273780,63.0
176,Artificial Intelligence: AI,2001,7.1,65,266242,71.0
177,Jurassic Park III,2001,5.9,42,256829,59.0
178,Moulin Rouge!,2001,7.6,66,245014,76.0
179,The Royal Tenenbaums,2001,7.6,76,236521,76.0
180,Hannibal,2001,6.8,57,228999,68.0
181,Vanilla Sky,2001,6.9,45,226490,69.0
182,Zoolander,2001,6.6,61,223423,66.0
183,American Pie 2,2001,6.4,43,218494,64.0
184,Blow,2001,7.6,52,217485,76.0
185,Enemy at the Gates,2001,7.6,53,215114,76.0
186,Bridget Jones's Diary,2001,6.7,66,197135,67.0
187,Planet of the Apes,2001,5.7,50,196349,57.0
188,Lara Croft: Tomb Raider,2001,5.8,33,178917,58.0
189,Rush Hour 2,2001,6.6,48,178412,66.0
190,Swordfish,2001,6.5,32,165581,65.0
191,K-PAX,2001,7.4,49,163259,74.0
192,Legally Blonde,2001,6.2,59,154037,62.0
193,A Knight's Tale,2001,6.9,56,151861,69.0
194,Jay and Silent Bob Strike Back,2001,6.9,51,137538,69.0
195,From Hell,2001,6.8,54,135676,68.0
196,Scary Movie 2,2001,5.3,29,133217,53.0
197,I Am Sam,2001,7.6,28,132471,76.0
198,Spy Game,2001,7.1,63,131139,71.0
199,Shallow Hal,2001,5.9,48,118038,59.0
200,The Princess Diaries,2001,6.3,52,110060,63.0
201,The Score,2001,6.8,71,110047,68.0
202,Evolution,2001,6.1,40,109914,61.0
203,Ghost World,2001,7.4,88,104436,74.0
204,Y tu mamá también,2001,7.7,88,101734,77.0
205,Rat Race,2001,6.4,52,100060,64.0
206,Jeepers Creepers,2001,6.2,49,99351,62.0
207,Spy Kids,2001,5.5,71,95157,55.0
208,Serendipity,2001,6.9,52,95060,69.0
209,The Mexican,2001,6.1,43,94526,61.0
210,The Man Who Wasn't There,2001,7.6,73,94230,76.0
211,Behind Enemy Lines,2001,6.4,49,92807,64.0
212,Lagaan: Once Upon a Time in India,2001,8.1,84,87852,81.0
213,Not Another Teen Movie,2001,5.7,32,87794,57.0
214,Super Troopers,2001,7.1,48,87304,71.0
215,Atlantis: The Lost Empire,2001,6.8,52,87034,68.0
216,Ali,2001,6.8,65,85632,68.0
217,Das Experiment,2001,7.7,60,85271,77.0
218,The One,2001,5.9,25,83560,59.0
219,Sweet November,2001,6.7,27,77541,67.0
220,Final Fantasy: The Spirits Within,2001,6.4,49,76729,64.0
221,Monster's Ball,2001,7.1,69,76724,71.0
222,Kate & Leopold,2001,6.4,44,71633,64.0
223,Thir13en Ghosts,2001,5.6,30,71529,56.0
224,Gosford Park,2001,7.3,90,71046,73.0
225,Frailty,2001,7.3,64,68497,73.0
226,The Wedding Planner,2001,5.3,33,68308,53.0
227,Along Came a Spider,2001,6.3,42,65612,63.0
228,Siu Lam juk kau,2001,7.3,68,65328,73.0
229,The Last Castle,2001,6.9,43,62521,69.0
230,Bandits,2001,6.5,60,60949,65.0
231,Joy Ride,2001,6.6,75,58374,66.0
232,Le pacte des loups,2001,7.1,57,56872,71.0
233,Kiss of the Dragon,2001,6.6,58,56785,66.0
234,Waking Life,2001,7.8,82,55233,78.0
235,El espinazo del diablo,2001,7.5,78,54934,75.0
236,Save the Last Dance,2001,6.2,53,52504,62.0
237,The Animal,2001,4.8,43,51924,48.0
238,Cats & Dogs,2001,5.1,47,51128,51.0
239,America's Sweethearts,2001,5.7,44,51035,57.0
240,Original Sin,2001,6.0,33,49037,60.0
241,The Majestic,2001,6.9,27,48520,69.0
242,Session 9,2001,6.5,58,48327,65.0
243,How High,2001,6.3,29,48180,63.0
244,The Pledge,2001,6.8,71,47740,68.0
245,Wet Hot American Summer,2001,6.7,42,47724,67.0
246,Heartbreakers,2001,6.2,47,47505,62.0
247,Koroshiya 1,2001,7.1,55,46965,71.0
248,Ghosts of Mars,2001,4.9,35,46752,49.0
249,La pianiste,2001,7.5,79,46559,75.0
250,Joe Dirt,2001,5.9,20,45952,59.0
251,15 Minutes,2001,6.1,34,45478,61.0
252,The 51st State,2001,6.3,23,45204,63.0
253,Don't Say a Word,2001,6.3,38,44298,63.0
254,Jason X,2001,4.4,25,44179,44.0
255,Freddy Got Fingered,2001,4.5,13,42619,45.0
256,Life as a House,2001,7.5,45,41124,75.0
257,No Man's Land,2001,8.0,84,40912,80.0
258,3000 Miles to Graceland,2001,5.9,21,40797,59.0
259,Dr. Dolittle 2,2001,4.7,49,37808,47.0
260,Rock Star,2001,6.2,54,37649,62.0
261,Cowboy Bebop: Tengoku no tobira,2001,7.9,61,37032,79.0
262,Driven,2001,4.6,29,36665,46.0
263,Saving Silverman,2001,5.9,22,35798,59.0
264,The Curse of the Jade Scorpion,2001,6.8,52,34889,68.0
265,In the Bedroom,2001,7.4,86,34621,74.0
266,Black Knight,2001,4.8,32,34279,48.0
267,The Believer,2001,7.2,75,33573,72.0
268,Hearts in Atlantis,2001,6.9,55,33147,69.0
269,Wasabi,2001,6.7,53,33006,67.0
270,Mean Machine,2001,6.5,45,32288,65.0
271,Lucía y el sexo,2001,7.2,65,32158,72.0
272,Bully,2001,7.0,45,31612,70.0
273,The Shipping News,2001,6.8,47,30351,68.0
274,Captain Corelli's Mandolin,2001,5.9,36,30344,59.0
275,Heist,2001,6.5,66,30218,65.0
276,Exit Wounds,2001,5.5,39,29527,55.0
277,Hedwig and the Angry Inch,2001,7.8,85,28610,78.0
278,Osmosis Jones,2001,6.3,57,28479,63.0
279,The Glass House,2001,5.8,34,28169,58.0
280,Bubble Boy,2001,5.6,41,27751,56.0
281,Jimmy Neutron: Boy Genius,2001,6.0,65,27079,60.0
282,One Night at McCool's,2001,6.1,46,27056,61.0
283,Antitrust,2001,6.1,31,26938,61.0
284,The Tailor of Panama,2001,6.1,66,25740,61.0
285,Hard Ball,2001,6.4,48,25403,64.0
286,Riding in Cars with Boys,2001,6.5,43,24602,65.0
287,Birthday Girl,2001,6.1,51,22883,61.0
288,Domestic Disturbance,2001,5.5,29,22803,55.0
289,Crazy/Beautiful,2001,6.5,61,22626,65.0
290,Valentine,2001,4.8,18,22195,48.0
291,Buffalo Soldiers,2001,6.8,56,21826,68.0
292,Someone Like You...,2001,6.1,32,21705,61.0
293,Crocodile Dundee in Los Angeles,2001,4.8,37,21613,48.0
294,Monsoon Wedding,2001,7.4,77,21520,74.0
295,Impostor,2001,6.2,33,21282,62.0
296,Knockaround Guys,2001,6.1,30,20937,61.0
297,Angel Eyes,2001,5.6,39,20729,56.0
298,Glitter,2001,2.2,14,20394,22.0
299,Down to Earth,2001,5.4,32,20170,54.0
300,Josie and the Pussycats,2001,5.4,47,20082,54.0
301,Enigma,2001,6.4,64,18864,64.0
302,Lost and Delirious,2001,7.0,53,18499,70.0
303,Metoroporisu,2001,7.3,75,18494,73.0
304,Sennen joyû,2001,7.9,70,18249,79.0
305,O,2001,6.2,53,18217,62.0
306,Lantana,2001,7.3,84,17418,73.0
307,Tape,2001,7.3,71,17192,73.0
308,Just Visiting,2001,5.8,38,16628,58.0
309,Get Over It,2001,5.8,52,16586,58.0
310,Human Nature,2001,6.4,56,16386,64.0
311,Tomcats,2001,5.3,15,16305,53.0
312,Storytelling,2001,6.9,50,16164,69.0
313,La stanza del figlio,2001,7.4,73,16044,74.0
314,Made,2001,6.4,62,15872,64.0
315,Iris,2001,7.1,76,15853,71.0
316,Out Cold,2001,6.3,22,15475,63.0
317,Monkeybone,2001,4.7,40,15441,47.0
318,Le placard,2001,7.1,72,15250,71.0
319,Kissing Jessica Stein,2001,6.6,72,14943,66.0
320,Summer Catch,2001,5.0,21,13967,50.0
321,Kairo,2001,6.6,70,13762,66.0
322,What's the Worst That Could Happen?,2001,5.5,37,13696,55.0
323,The Musketeer,2001,4.7,27,13423,47.0
324,El hijo de la novia,2001,7.8,68,13252,78.0
325,The Lord of the Rings: The Two Towers,2002,8.7,87,1276753,87.0
326,Catch Me If You Can,2002,8.1,75,667779,81.0
327,Cidade de Deus,2002,8.6,79,613731,86.0
328,Spider-Man,2002,7.3,73,612484,73.0
329,The Pianist,2002,8.5,85,599886,85.0
330,Star Wars: Episode II - Attack of the Clones,2002,6.6,54,546744,66.0
331,Harry Potter and the Chamber of Secrets,2002,7.4,63,459993,74.0
332,The Bourne Identity,2002,7.9,68,459159,79.0
333,Minority Report,2002,7.7,80,450230,77.0
334,Ice Age,2002,7.5,60,377235,75.0
335,Gangs of New York,2002,7.5,72,356483,75.0
336,28 Days Later...,2002,7.6,73,333233,76.0
337,Signs,2002,6.7,59,302243,67.0
338,Men in Black II,2002,6.1,49,296391,61.0
339,Equilibrium,2002,7.5,33,286829,75.0
340,The Ring,2002,7.1,57,286651,71.0
341,The Transporter,2002,6.8,51,261045,68.0
342,Insomnia,2002,7.2,78,245075,72.0
343,Phone Booth,2002,7.1,56,229324,71.0
344,Panic Room,2002,6.8,65,228824,68.0
345,Resident Evil,2002,6.7,33,223971,67.0
346,Red Dragon,2002,7.2,60,223788,72.0
347,Road to Perdition,2002,7.7,72,221294,77.0
348,8 Mile,2002,7.1,77,216720,71.0
349,Chih chia ko,2002,7.2,82,193710,72.0
350,Die Another Day,2002,6.1,56,185276,61.0
351,A Walk to Remember,2002,7.4,35,181464,74.0
352,Blade II,2002,6.7,52,178842,67.0
353,Austin Powers in Goldmember,2002,6.2,62,177728,62.0
354,Ying xiong,2002,7.9,85,161756,79.0
355,xXx,2002,5.9,48,160966,59.0
356,Adaptation.,2002,7.7,83,159822,77.0
357,25th Hour,2002,7.7,67,159516,77.0
358,About a Boy,2002,7.1,75,155187,71.0
359,Lilo & Stitch,2002,7.2,73,140487,72.0
360,Bowling for Columbine,2002,8.0,72,131787,80.0
361,Punch-Drunk Love,2002,7.3,78,125713,73.0
362,Mr. Deeds,2002,5.8,24,122494,58.0
363,We Were Soldiers,2002,7.2,65,116520,72.0
364,Reign of Fire,2002,6.2,39,116309,62.0
365,The Count of Monte Cristo,2002,7.8,61,115734,78.0
366,The Scorpion King,2002,5.5,45,115512,55.0
367,About Schmidt,2002,7.2,85,114841,72.0
368,The Hours,2002,7.6,80,112859,76.0
369,My Big Fat Greek Wedding,2002,6.6,62,110833,66.0
370,John Q,2002,7.1,30,110783,71.0
371,The Time Machine,2002,5.9,42,110446,59.0
372,Mou gaan dou,2002,8.1,75,108414,81.0
373,One Hour Photo,2002,6.8,64,105326,68.0
374,Irréversible,2002,7.4,51,100238,74.0
375,Bend It Like Beckham,2002,6.7,66,96971,67.0
376,Van Wilder,2002,6.4,26,95778,64.0
377,Two Weeks Notice,2002,6.1,42,94783,61.0
378,Hable con ella,2002,8.0,86,94437,80.0
379,The Sum of All Fears,2002,6.4,45,93768,64.0
380,Sweet Home Alabama,2002,6.2,45,92262,62.0
381,Treasure Planet,2002,7.1,60,85174,71.0
382,Ghost Ship,2002,5.5,28,83425,55.0
383,Scooby-Doo,2002,5.0,35,82617,50.0
384,The Hot Chick,2002,5.5,29,82023,55.0
385,Confessions of a Dangerous Mind,2002,7.1,67,76971,71.0
386,Analyze That,2002,5.9,37,75744,59.0
387,Maid in Manhattan,2002,5.1,45,75694,51.0
388,Secretary,2002,7.0,63,74835,70.0
389,Jackass: The Movie,2002,6.6,42,74366,66.0
390,Solaris,2002,6.2,65,73051,62.0
391,Frida,2002,7.4,61,71253,74.0
392,Unfaithful,2002,6.7,63,70827,67.0
393,The Tuxedo,2002,5.3,30,70130,53.0
394,The Mothman Prophecies,2002,6.5,52,69213,65.0
395,Cabin Fever,2002,5.6,56,68064,56.0
396,Collateral Damage,2002,5.5,33,66628,55.0
397,40 Days and 40 Nights,2002,5.6,53,65735,56.0
398,Star Trek: Nemesis,2002,6.4,51,65191,64.0
399,Changing Lanes,2002,6.5,69,62003,65.0
400,Windtalkers,2002,6.0,51,60655,60.0
401,Showtime,2002,5.5,32,56226,55.0
402,S1m0ne,2002,6.1,49,55295,61.0
403,Spirit: Stallion of the Cimarron,2002,7.1,52,53940,71.0
404,K-19: The Widowmaker,2002,6.7,58,53812,67.0
405,Boksuneun naui geot,2002,7.7,56,53463,77.0
406,Spy Kids 2: Island of Lost Dreams,2002,5.1,66,51856,51.0
407,The Sweetest Thing,2002,5.1,32,50299,51.0
408,Queen of the Damned,2002,5.3,30,48050,53.0
409,Eight Legged Freaks,2002,5.4,53,47880,54.0
410,Murder by Numbers,2002,6.1,50,47850,61.0
411,Hart's War,2002,6.3,49,47232,63.0
412,The Rules of Attraction,2002,6.7,50,46781,67.0
413,I Spy,2002,5.4,35,45043,54.0
414,Orange County,2002,6.2,48,43964,62.0
415,Stuart Little 2,2002,5.5,66,42977,55.0
416,Bad Company,2002,5.6,37,42280,56.0
417,Bubba Ho-Tep,2002,7.1,57,41878,71.0
418,The Santa Clause 2,2002,5.6,48,41535,56.0
419,Kung Pow: Enter the Fist,2002,6.2,14,40597,62.0
420,The Good Girl,2002,6.5,71,40575,65.0
421,Far from Heaven,2002,7.4,84,39739,74.0
422,Lilja 4-ever,2002,7.9,82,38696,79.0
423,In America,2002,7.8,76,38435,78.0
424,Blood Work,2002,6.4,64,37987,64.0
425,Dirty Pretty Things,2002,7.4,78,37632,74.0
426,L'auberge espagnole,2002,7.3,65,36872,73.0
427,Whale Rider,2002,7.6,80,36741,76.0
428,Death to Smoochy,2002,6.4,38,36501,64.0
429,Narc,2002,7.2,70,36103,72.0
430,Crossroads,2002,3.4,27,35983,34.0
431,Ju-on,2002,6.7,48,35728,67.0
432,Enough,2002,5.7,25,34510,57.0
433,High Crimes,2002,6.3,48,34270,63.0
434,Spun,2002,6.8,41,34202,68.0
435,Dragonfly,2002,6.1,25,34056,61.0
436,Spider,2002,6.8,83,32804,68.0
437,Big Fat Liar,2002,5.4,36,31632,54.0
438,Undercover Brother,2002,5.8,69,31359,58.0
439,The New Guy,2002,5.9,24,31054,59.0
440,Drumline,2002,5.7,63,30948,57.0
441,Halloween: Resurrection,2002,4.1,19,30869,41.0
442,Femme Fatale,2002,6.3,59,30865,63.0
443,Igby Goes Down,2002,7.0,72,30443,70.0
444,The Four Feathers,2002,6.5,49,30253,65.0
445,May,2002,6.7,58,29708,67.0
446,24 Hour Party People,2002,7.4,85,29451,74.0
447,Antwone Fisher,2002,7.3,62,29403,73.0
448,The Rookie,2002,7.0,72,28974,70.0
449,Boat Trip,2002,4.9,18,28515,49.0
450,The Salton Sea,2002,7.2,41,28048,72.0
451,Blue Crush,2002,5.7,61,27857,57.0
452,White Oleander,2002,7.2,61,27480,72.0
453,Barbershop,2002,6.3,66,26916,63.0
454,Gin gwai,2002,6.7,66,26308,67.0
455,8 femmes,2002,7.1,64,26122,71.0
456,Undisputed,2002,6.2,58,25737,62.0
457,The Quiet American,2002,7.1,84,25445,71.0
458,Rabbit-Proof Fence,2002,7.5,80,25270,75.0
459,The Magdalene Sisters,2002,7.8,83,24048,78.0
460,Hollywood Ending,2002,6.6,46,23839,66.0
461,Rollerball,2002,3.0,14,23529,30.0
462,City by the Sea,2002,6.1,50,22757,61.0
463,Snow Dogs,2002,5.1,29,22656,51.0
464,Friday After Next,2002,5.8,35,22580,58.0
465,The Adventures of Pluto Nash,2002,3.8,12,21936,38.0
466,Heaven,2002,7.1,68,21779,71.0
467,Bloody Sunday,2002,7.7,90,21484,77.0
468,Life or Something Like It,2002,5.8,31,21334,58.0
469,Trapped,2002,6.2,42,21259,62.0
470,The Importance of Being Earnest,2002,6.9,60,20502,69.0
471,Tasogare Seibei,2002,8.1,82,19901,81.0
472,Mies vailla menneisyyttä,2002,7.7,84,19707,77.0
473,Eight Crazy Nights,2002,5.3,23,19694,53.0
474,The Master of Disguise,2002,3.3,12,19592,33.0
475,Tuck Everlasting,2002,6.7,66,19533,67.0
476,Below,2002,6.2,55,19337,62.0
477,Dark Blue,2002,6.6,57,18812,66.0
478,Big Trouble,2002,6.5,47,18607,65.0
479,Feardotcom,2002,3.3,16,18234,33.0
480,Darkness,2002,5.4,15,17772,54.0
481,Ballistic: Ecks vs. Sever,2002,3.6,19,17697,36.0
482,Swimfan,2002,5.0,29,17542,50.0
483,À la folie... pas du tout,2002,7.2,63,17402,72.0
484,Like Mike,2002,5.2,47,16906,52.0
485,Divine Secrets of the Ya-Ya Sisterhood,2002,6.0,48,16567,60.0
486,Russkiy kovcheg,2002,7.4,86,16476,74.0
487,Gerry,2002,6.2,54,16390,62.0
488,Roger Dodger,2002,7.0,75,16061,70.0
489,Return to Never Land,2002,5.8,49,15528,58.0
490,Serving Sara,2002,5.3,18,15510,53.0
491,The Emperor's Club,2002,6.9,49,15448,69.0
492,Uzak,2002,7.7,84,14941,77.0
493,Laurel Canyon,2002,6.4,61,14719,64.0
494,Dolls,2002,7.7,71,14527,77.0
495,The Guru,2002,5.4,47,14162,54.0
496,The Lord of the Rings: The Return of the King,2003,8.9,94,1411992,89.0
497,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63,926843,80.0
498,Kill Bill: Vol. 1,2003,8.1,69,857873,81.0
499,Finding Nemo,2003,8.1,90,822144,81.0
500,The Matrix Reloaded,2003,7.2,62,461830,72.0
501,X2,2003,7.5,68,460577,75.0
502,Oldeuboi,2003,8.4,74,431893,84.0
503,The Matrix Revolutions,2003,6.7,47,400664,67.0
504,Big Fish,2003,8.0,58,379809,80.0
505,Mystic River,2003,8.0,84,374961,80.0
506,Love Actually,2003,7.6,55,363821,76.0
507,Lost in Translation,2003,7.8,89,359953,78.0
508,The Last Samurai,2003,7.7,55,355292,77.0
509,Terminator 3: Rise of the Machines,2003,6.3,66,337676,63.0
510,Bruce Almighty,2003,6.7,46,332573,67.0
511,The Italian Job,2003,7.0,68,312288,70.0
512,The School of Rock,2003,7.1,82,233597,71.0
513,Underworld,2003,7.0,42,232341,70.0
514,Hulk,2003,5.7,54,232221,57.0
515,2 Fast 2 Furious,2003,5.9,38,220955,59.0
516,21 Grams,2003,7.7,70,206695,77.0
517,Identity,2003,7.3,64,200919,73.0
518,Old School,2003,7.1,54,198711,71.0
519,Bad Boys II,2003,6.6,38,198210,66.0
520,Daredevil,2003,5.3,42,191959,53.0
521,Anger Management,2003,6.2,52,185786,62.0
522,Master and Commander: The Far Side of the World,2003,7.4,81,184379,74.0
523,How to Lose a Guy in 10 Days,2003,6.4,45,181184,64.0
524,American Wedding,2003,6.3,43,177165,63.0
525,Elf,2003,6.9,64,174342,69.0
526,The League of Extraordinary Gentlemen,2003,5.8,30,153032,58.0
527,Once Upon a Time in Mexico,2003,6.4,56,141135,64.0
528,Final Destination 2,2003,6.2,38,134605,62.0
529,Cold Mountain,2003,7.2,73,128486,72.0
