SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,Latitude,Longitude
小港,高雄市,52,細懸浮微粒,普通,5.3,0.38,0.4,50,28,52,12,14,16,2,2.5,277,2018-07-17 10:00,16,49,22.565833,120.337736
前鎮,高雄市,54,細懸浮微粒,普通,5.1,0.28,0.3,40,30,51,12,13,15,2.3,1.6,348,2018-07-17 10:00,17,48,22.605386,120.307564
前金,高雄市,67,細懸浮微粒,普通,2.1,0.17,0.2,38,28,51,28,5,6.3,1.3,3,316,2018-07-17 10:00,22,49,22.632567,120.288086
左營,高雄市,71,細懸浮微粒,普通,2.5,0.15,0.3,34,26,49,21,7.1,9.2,2.1,3.2,304,2018-07-17 10:00,24,53,22.674861,120.292917
楠梓,高雄市,92,細懸浮微粒,普通,2.7,0.27,0.3,55,28,76,31,8.3,11,2.3,2.8,303,2018-07-17 10:00,32,67,22.733667,120.328289
林園,高雄市,67,細懸浮微粒,普通,7.5,0.23,0.2,51,27,63,13,13,17,3.6,3,284,2018-07-17 10:00,22,60,22.4795,120.41175
大寮,高雄市,86,細懸浮微粒,普通,4.3,0.31,0.3,56,26,46,28,14,17,2.5,0.7,311,2018-07-17 10:00,30,50,22.565747,120.425081
鳳山,高雄市,80,細懸浮微粒,普通,,0.44,0.4,51,28,43,29,16,18,2.7,2,282,2018-07-17 10:00,27,47,22.627392,120.358083
仁武,高雄市,70,細懸浮微粒,普通,3,0.27,0.3,55,33,54,22,14,16,2.8,2.7,250,2018-07-17 10:00,23,56,22.689056,120.332631
橋頭,高雄市,61,細懸浮微粒,普通,3.2,0.28,0.3,51,24,44,15,8.4,9.7,1.4,2,321,2018-07-17 10:00,20,56,22.757506,120.305689
美濃,高雄市,56,細懸浮微粒,普通,2.4,0.2,0.3,37,19,42,15,3.7,4.3,0.6,1.3,316,2018-07-17 10:00,18,46,22.883583,120.530542
臺南,臺南市,87,細懸浮微粒,普通,2.8,0.38,0.4,53,30,55,36,8,10,2.2,1.8,296,2018-07-17 10:00,30,52,22.984581,120.202617
安南,臺南市,88,細懸浮微粒,普通,2.9,0.21,0.3,44,22,68,44,7.4,9.8,2.3,3.9,298,2018-07-17 10:00,30,60,23.048197,120.2175
善化,臺南市,82,細懸浮微粒,普通,4,0.2,0.2,,19,47,30,5.5,5.8,0.4,2.7,347,2018-07-17 10:00,28,52,23.115097,120.297142
新營,臺南市,88,細懸浮微粒,普通,2.7,0.19,0.2,41,26,50,32,5.6,6.6,1,1.6,268,2018-07-17 10:00,30,54,23.305633,120.31725
嘉義,嘉義市,71,細懸浮微粒,普通,2.7,0.17,0.2,43,22,36,38,7.3,9.9,2.6,1.5,263,2018-07-17 10:00,24,41,23.462778,120.440833
臺西,雲林縣,88,細懸浮微粒,普通,5,0.25,0.2,52,20,52,41,6,8.3,2.3,1.7,211,2018-07-17 10:00,31,55,23.717533,120.202842
朴子,嘉義縣,97,細懸浮微粒,普通,2.8,0.28,0.3,51,24,64,40,5.6,6.8,1.2,2,302,2018-07-17 10:00,34,64,23.465308,120.24735
